OG0016553	LOC4340281	LOC101768923	LOC8076178
OG0007727	LOC4344009	LOC101777791	LOC8063521
OG0006278	LOC4334493	LOC101779579	LOC110433378
OG0018262	LOC4345664	LOC101778585	LOC8075667
OG0010451	LOC4347434	LOC101762514	LOC8055876
OG0009945	LOC4326790	LOC101775015	LOC8059423
OG0009585	LOC4344719	LOC101754241	LOC8069637
OG0008197	LOC4326537	LOC101784482	LOC8081314
OG0018178	LOC4344646	LOC101760866	LOC8067818
OG0007582	LOC4336055	LOC101780215	LOC8073436
OG0017181	LOC4341500	LOC101784179	LOC8082279
OG0018248	LOC107278459	LOC111256471	LOC8064857
OG0014985	LOC4324241	LOC101764758	LOC8059150
OG0007323	LOC4333548	LOC101752973	LOC110437015
OG0015742	LOC9267158	LOC101772084	LOC8065835
OG0012932	LOC4327973	LOC101772198	LOC110434441
OG0006395	LOC4348601	LOC101774981	LOC8062264
OG0006361	LOC4324389	LOC101781234	LOC8061874
OG0007437	LOC4339154	LOC101753630	LOC8077025
OG0009508	LOC4343175	LOC101780466	LOC8077271
OG0003934	LOC4325003	LOC101766258	LOC8063144
OG0015352	LOC9266435	LOC101754286	LOC8070306
